,date,location,IP address,component,interaction,duration,downtime
31,2021-08-05,"1091 Jennifer Key
Lake Lauramouth, NH 82745",149.42.34.94,sap shipping management system,invalid SAP unit code,79.75,0.0
32,2021-07-01,"2978 Hansen Mall Suite 460
New Annhaven, AR 90135",157.48.44.40,ios frontend,scroll,63.72,53.55
33,2021-06-23,"034 Blackburn Orchard
Johnstad, TN 74042",215.185.215.68,android frontend,refresh,50.79,0.0
34,2021-07-27,"48505 Moses Harbor Apt. 339
Davishaven, ID 85665",51.203.106.96,shipping database,potential SSH threat,53.55,9.09
35,2021-08-02,"87880 Amy Grove Apt. 417
West Nathan, CA 94757",120.86.39.66,android frontend,refresh,26.85,0.0
36,2021-08-10,"0405 Lynch Springs Apt. 256
North Isaiahstad, VA 17410",57.16.113.109,shipping database,throttling,93.24,84.97
37,2021-08-18,"1543 Felicia Rue Apt. 754
West Lisa, MS 50104",222.213.157.215,ai engine,parameter values invalid,73.84,81.55
38,2021-06-06,"6439 White Ridge
Markburgh, NV 51080",198.30.151.139,android frontend,bounce,8.4,0.0
39,2021-05-21,"Unit 7351 Box 8459
DPO AP 65873",212.215.113.70,shipping database,potential SSH threat,75.41,91.71
40,2021-07-30,"6603 Stephanie Land Apt. 039
Parkerbury, NC 41947",215.120.10.62,django controller,HTTP 400 response,28.51,0.0
41,2021-07-05,"442 Willis Mill Suite 371
East Deborah, DE 79341",169.97.8.238,web frontend,dormant,13.75,3.97
42,2021-08-08,"9762 Justin Plaza
Stonefurt, GA 65324",94.224.251.60,web frontend,dormant,40.43,90.09
43,2021-07-24,"95358 Erin Street Suite 671
Lake David, AR 08766",217.44.114.210,shipping database,request timeout,55.61,98.48
44,2021-08-18,"26072 Woods Shores
Curtisberg, VT 89063",23.11.198.185,web frontend,scroll,92.2,45.92
45,2021-06-29,"37824 Johnston Key
Harryside, AZ 18069",151.171.246.44,django controller,HTTP 401 response,86.55,16.62
46,2021-08-07,"70313 Kayla Loaf Apt. 345
Fitzpatrickchester, MS 96151",81.84.122.160,django controller,HTTP 400 response,17.25,14.71
47,2021-06-02,"USNV Townsend
FPO AP 94111",22.57.47.1,mongodb database,throttling,50.13,60.7
48,2021-08-13,"99936 Martin Lakes
Lake Donald, MT 51935",85.31.209.207,django controller,HTTP 404 response,15.21,12.22
49,2021-05-21,"4368 Eric Ports
East William, ME 56991",126.108.11.62,mongodb database,other,89.1,91.67
50,2021-08-12,"793 Kristy Mount
West Adamstad, KY 92751",186.112.31.239,customer database,other,19.67,11.02
51,2021-06-20,"9256 Angela Glen
North Cherylshire, MA 28573",93.138.189.45,android frontend,bounce,24.52,17.06
52,2021-05-27,"348 Macias Trafficway
New Michaelborough, WY 26142",181.147.190.144,ai engine,error loading model,64.27,42.42
53,2021-08-06,"417 David Islands
North Wendy, WI 50868",170.195.177.243,mongodb database,SQL injection threat,6.6,1.87
54,2021-07-01,"829 Kimberly Valley
Ellisview, AZ 94730",66.103.77.97,ios frontend,dropdown click,11.88,28.8
55,2021-06-08,"6213 Garcia Spurs
New Richard, KY 47825",180.228.63.255,ios frontend,new route,49.45,54.08
56,2021-08-16,"8774 Yolanda Landing Suite 731
Port Mary, CO 54672",106.68.32.84,sap shipping management system,invalid SAP unit code,59.31,6.85
57,2021-07-06,"63726 Donna Mountain
New Patriciaburgh, CA 09749",173.188.77.204,shipping database,throttling,49.5,66.71
58,2021-07-25,"7498 Jesse Trafficway Apt. 800
Lake Don, NH 64465",192.207.62.136,ai engine,parameter values invalid,36.48,1.52
59,2021-06-20,"825 Elizabeth Inlet
Jeremyburgh, NY 83259",68.154.77.184,shipping database,invalid key,44.2,2.38
60,2021-08-14,"82879 Melissa Orchard
Amyborough, KS 39964",77.255.126.72,android frontend,type,97.29,82.74
61,2021-08-11,"590 Tammy Trail Apt. 608
Lake Phillip, NC 75159",38.93.151.14,customer database,timeout,13.09,9.75
62,2021-06-24,"774 Jodi Points Suite 639
New Davidbury, DC 93575",215.36.86.132,sap shipping management system,server error,25.21,0.0
63,2021-07-20,"4286 Robinson Springs Suite 045
Davidfort, NE 62073",143.189.64.98,sap shipping management system,invalid SAP unit code,4.92,0.0
64,2021-07-07,"PSC 1084, Box 5554
APO AA 11545",57.147.234.211,sap shipping management system,connection timeout,60.41,57.69
65,2021-07-07,"85203 Torres Ridge Apt. 304
Jennifershire, MA 82567",148.228.220.75,ai engine,model version invalid,10.34,18.09
66,2021-06-03,"94093 Gavin Falls Suite 795
Lewisview, HI 19869",103.101.101.183,ios frontend,dropdown click,33.6,0.0
67,2021-05-20,"2956 Davidson Tunnel Suite 814
Wendymouth, DC 43597",198.241.197.223,mongodb database,server error,1.75,0.0
68,2021-05-29,"232 Michael Plaza Apt. 460
South Kyletown, AR 66253",41.225.23.125,sap shipping management system,server error,13.65,0.0
69,2021-08-11,"2415 Peters Islands
Heidishire, CA 17838",191.74.233.131,ai engine,training data error,72.99,17.39
70,2021-07-04,"9023 Christine Vista
Russomouth, DC 93656",133.89.40.163,ai engine,parameter values invalid,48.41,97.28
71,2021-07-14,"542 Hebert Loaf Suite 791
Port Jason, HI 99800",134.165.91.228,mongodb database,throttling,50.6,37.62
72,2021-06-15,"25270 Garcia Rapids
West Carolyn, NE 00503",155.184.200.69,django controller,HTTP 500 response,9.38,2.84
73,2021-08-09,"692 Sheila Views Suite 111
Rodriguezton, VT 11718",44.126.84.85,mongodb database,other,92.93,93.41
74,2021-08-08,"16981 Matthews Dale
Ericmouth, PA 67684",215.243.205.103,django controller,HTTP 400 response,8.33,0.0
75,2021-06-25,"477 Davidson Branch
East Davidborough, MN 42951",166.68.86.242,sap shipping management system,connection timeout,11.44,0.0
76,2021-08-07,"8907 Willis Gardens
Shawchester, WA 32226",34.222.172.22,ai engine,parameter values invalid,59.19,91.75
77,2021-06-28,"84665 Kevin Groves
East Timothy, NC 66057",214.186.33.189,django controller,not authorised,38.53,2.46
78,2021-08-14,"064 Linda Mills
South Coryville, NC 62138",134.73.54.14,web frontend,refresh,8.03,0.73
79,2021-06-05,"0879 Kevin Place
Jamiemouth, CT 85321",131.73.113.113,ai engine,parameter values invalid,74.88,73.78
80,2021-06-09,"404 Alan Street
South Matthew, WV 89995",92.229.227.80,sap shipping management system,invalid SAP unit code,78.65,0.0
81,2021-06-26,"67245 Brown Causeway
Terrimouth, AK 46928",38.107.1.220,django controller,HTTP 400 response,27.65,28.71
82,2021-05-20,"72885 Robert Harbor Apt. 225
West Carol, NH 75749",147.1.129.241,ios frontend,new route,31.54,0.0
83,2021-07-26,"3686 Samantha Forest Apt. 886
Lake Amyshire, AR 75419",1.167.32.145,django controller,HTTP 401 response,57.69,0.0
84,2021-06-05,"7853 Dean Springs Apt. 677
South Jeremy, NC 25106",85.26.221.105,sap shipping management system,unknown shipping code,80.06,0.0
85,2021-08-04,"255 Tina Burg Apt. 187
Nicholasville, ND 78749",215.30.137.52,mongodb database,server error,54.87,91.23
86,2021-08-15,"1080 Lawrence Ferry
Port Dorothyberg, IL 03639",49.188.233.180,django controller,HTTP 401 response,88.41,0.0
87,2021-06-13,"699 Meyer Station
South Robert, PA 24667",176.203.34.198,ai engine,bias detected in training data,47.1,66.93
88,2021-08-06,"204 Hall Light
Crystalshire, WV 91089",43.205.205.196,sap shipping management system,server error,3.89,1.4500000000000002
89,2021-07-06,"577 Lori Walk
Johnsonside, NC 17238",210.148.112.159,sap shipping management system,unknown shipping code,57.76,86.69
90,2021-08-06,"4259 Anne Well
Jonathanbury, WI 30092",145.161.127.72,android frontend,refresh,41.1,0.0
91,2021-08-19,"26914 Jones Dale
Watkinsberg, SC 83318",137.19.120.190,mongodb database,other,12.77,10.73
92,2021-06-03,"5249 Timothy Road Apt. 322
Lake Christopherburgh, WA 89294",85.9.219.0,shipping database,request timeout,16.26,17.31
93,2021-06-24,"6507 Steven Extensions Suite 592
Lake Robertstad, DC 94829",58.198.208.144,django controller,HTTP 401 response,95.43,0.0
94,2021-07-18,"352 Olivia Garden
Wilsonside, NH 68326",129.49.77.189,android frontend,dropdown click,11.07,0.0
95,2021-05-25,"9142 Thomas Crossing
Ronaldberg, TX 76002",135.70.45.5,django controller,HTTP 404 response,88.37,0.0
96,2021-08-16,"9664 Day Unions
East Cody, NH 06129",98.61.32.236,web frontend,type,70.23,52.93
97,2021-06-30,"776 Ray Station
Kathyland, DC 53039",162.241.104.30,ios frontend,click,61.65,0.0
98,2021-07-16,"75487 Hayden Inlet Suite 936
Port Ericshire, NJ 30761",121.201.175.44,ios frontend,click,3.2,0.0
99,2021-05-26,"36728 Montoya Valley
Sullivanfurt, ME 54815",56.59.215.50,customer database,potential SSH threat,61.5,0.0
100,2021-07-03,"083 Smith Walks
Lake Joshua, WV 31470",128.241.223.202,shipping database,SQL injection threat,16.09,18.77
101,2021-08-05,"PSC 6029, Box 0681
APO AA 88446",220.145.34.83,ai engine,model version invalid,91.62,76.74
102,2021-05-21,"37580 Joseph Ports
South Karachester, IL 38293",33.153.97.49,ios frontend,new route,66.39,38.56
103,2021-08-19,"784 Tracy Springs
North Kimberlyfort, MS 13529",55.215.231.173,sap shipping management system,connection timeout,25.91,0.0
104,2021-06-26,"966 John Light
West Jasmineborough, AK 71246",133.90.199.121,ai engine,parameter values invalid,29.11,23.53
105,2021-06-05,"28772 Amy Field Apt. 327
South Laurenborough, NH 14672",221.120.62.155,shipping database,invalid key,64.63,87.08
106,2021-07-18,"33041 Anthony Brook Apt. 605
South David, TX 38583",96.199.218.240,shipping database,request timeout,29.23,5.1
107,2021-08-14,"9317 May Orchard
North David, CA 35800",221.81.149.33,web frontend,bounce,64.02,0.0
108,2021-06-27,"Unit 3987 Box 3043
DPO AA 66636",181.89.28.126,customer database,SQL injection threat,69.39,56.8
109,2021-05-22,"7750 Jennifer Flats
West Amber, AK 66918",152.74.90.193,mongodb database,SQL injection threat,25.59,21.92
110,2021-06-22,"2699 Malone Fields
East Shawnside, AK 33055",145.67.111.76,shipping database,SQL injection threat,86.31,7.34
111,2021-07-19,"19033 Bell Wells Suite 216
Moorefurt, OR 48875",220.182.189.77,customer database,timeout,66.77,0.0
112,2021-06-03,"3422 Molina Plaza Apt. 538
North Amy, LA 14443",187.157.71.246,ios frontend,bounce,42.09,51.4
113,2021-05-21,"7154 Michael Prairie Apt. 952
Port Nicolebury, GA 23198",214.23.137.105,customer database,cannot find customer,46.29,0.0
114,2021-08-01,"435 Weaver Shoals Suite 839
Lake Teresaberg, CT 96551",30.33.45.94,ai engine,bias detected in training data,92.51,76.67
115,2021-08-05,"2194 Holmes Estates
Carolynfurt, RI 10080",70.148.238.248,ai engine,bias detected in training data,17.39,19.08
116,2021-06-02,"Unit 6286 Box 2488
DPO AP 17392",38.40.229.135,ios frontend,dropdown click,30.17,16.36
117,2021-06-05,"163 Gomez Ferry Apt. 861
Port Donna, WA 42930",66.197.32.199,mongodb database,throttling,5.18,3.2
118,2021-08-02,"Unit 1461 Box 9453
DPO AP 94228",87.141.146.225,sap shipping management system,invalid SAP unit code,31.24,0.0
119,2021-05-23,"4643 Jack Port Suite 663
New Aaron, NH 10952",74.26.206.22,shipping database,SQL injection threat,46.48,80.58
120,2021-07-24,"754 Michelle Summit
Johnport, MA 66913",102.2.118.53,sap shipping management system,invalid SAP unit code,64.86,30.17
121,2021-07-10,"045 Gutierrez Square Suite 320
Port Allentown, WV 92755",163.126.67.193,android frontend,click,24.08,6.0
122,2021-08-13,"111 Huff Corner Apt. 386
Thomasmouth, IA 10348",125.150.191.172,customer database,potential SSH threat,41.04,0.0
123,2021-06-08,"746 West Mission
Savannahfort, NH 46621",208.105.5.95,customer database,other,90.22,0.0
124,2021-05-25,"060 Steele Landing Suite 288
Robertshire, KY 71770",189.22.85.254,django controller,HTTP 400 response,61.95,0.0
125,2021-06-08,"841 Tammy Ramp
Colonland, FL 54696",167.251.224.42,ai engine,training data error,73.1,12.82
126,2021-06-25,"92455 Diaz Causeway
Port Rebeccahaven, MO 89201",86.123.118.194,mongodb database,throttling,72.48,61.89
127,2021-06-17,"55843 Thomas Trail Apt. 656
Alexistown, VA 24294",141.95.1.83,web frontend,dormant,21.58,18.4
128,2021-06-19,"63689 Cody Junction Suite 191
Lindseyberg, MO 73388",199.2.71.94,shipping database,throttling,58.65,29.75
129,2021-07-07,"411 Thomas Unions Apt. 535
Markstad, WY 74637",78.45.44.136,ai engine,bias detected in training data,4.21,0.1699999999999999
130,2021-07-24,"42312 Jeffrey Pines Apt. 902
New Michael, NC 27866",194.230.176.96,web frontend,dormant,44.39,49.03
131,2021-07-12,"281 Thomas Rest
Davidfort, VA 60203",208.193.14.243,sap shipping management system,connection timeout,71.49,71.99
132,2021-08-09,"95817 Kenneth Stravenue
Douglaschester, WV 13762",134.245.139.187,ios frontend,bounce,59.16,0.0
133,2021-07-11,"190 Maria Bypass Suite 575
Cynthiatown, HI 26696",85.254.31.253,customer database,potential SSH threat,18.1,27.94
134,2021-06-04,"0950 Reed Divide Suite 322
New Joseph, NE 47971",113.146.18.231,shipping database,throttling,30.94,96.36
135,2021-06-09,"PSC 3611, Box 6625
APO AP 96072",115.5.91.243,android frontend,scroll,29.92,0.0
136,2021-08-06,"Unit 3840 Box 9505
DPO AE 54401",146.106.56.200,shipping database,request timeout,54.65,83.13
137,2021-07-01,"18514 Tammy Plains
Jamesborough, RI 37527",61.85.115.230,android frontend,scroll,16.62,0.0
138,2021-06-28,"9438 Love Spurs
Hillfurt, MO 10083",220.135.132.30,android frontend,new route,9.57,0.0
139,2021-07-19,"015 Rice Junction Suite 731
Luismouth, NE 49107",132.62.81.232,django controller,not authorised,84.07,87.94
140,2021-06-17,"5034 Riley Park
North Melissa, DC 33644",203.49.160.21,ios frontend,dormant,55.77,9.79
141,2021-06-08,"699 Douglas Road
Stephanietown, DE 92331",74.155.97.89,sap shipping management system,invalid SAP unit code,72.76,60.15
142,2021-06-16,"81070 Bradley Squares
Lake Ashley, VT 19461",193.59.117.185,mongodb database,throttling,70.89,90.06
143,2021-07-19,"66026 Roberts Crescent
Lake Tammyside, SC 45348",203.81.25.143,customer database,cannot find customer,92.65,0.0
144,2021-07-08,"37968 Ortiz Plaza
Moorefort, VA 92404",56.220.106.146,ai engine,error loading model,21.42,3.74
145,2021-06-01,"2326 Orr Junctions Apt. 541
Woodview, VA 83899",43.171.7.247,android frontend,type,81.21,0.0
146,2021-07-05,"1360 Robert Street Apt. 603
Campbellchester, RI 16539",116.240.150.85,ios frontend,bounce,87.98,80.12
147,2021-05-24,"83849 Lewis Lodge Suite 489
New Jacob, IL 45419",144.109.146.197,customer database,update data error,29.24,0.0
148,2021-08-16,"1333 Heather Mission
Costashire, AR 10863",65.244.73.255,mongodb database,entry does not exist,14.23,1.61
149,2021-06-30,"934 Curtis Street Apt. 604
Lake Ronald, KS 42887",211.112.144.4,customer database,cannot find customer,51.97,31.950000000000003
150,2021-08-08,"PSC 2164, Box 1982
APO AA 50715",219.217.183.189,sap shipping management system,invalid SAP unit code,16.09,0.0
151,2021-06-23,"8568 Anderson Extensions
Lake Emily, NH 66408",222.31.214.220,django controller,HTTP 500 response,38.35,0.0
152,2021-05-23,"120 Ramirez Road Suite 126
Port Katherine, SD 37108",133.20.199.210,ios frontend,scroll,56.35,43.1
153,2021-08-13,"6326 Burton Highway Apt. 611
Stevenshire, SC 77484",172.108.230.141,shipping database,invalid key,40.64,49.98
154,2021-08-16,"49894 Alexandra Expressway Apt. 604
Mahoneyhaven, UT 21054",9.133.147.213,android frontend,scroll,69.67,29.69
155,2021-08-03,"1645 Brooke Road Suite 475
Turnerbury, IA 45918",208.206.187.2,web frontend,new route,63.24,0.0
156,2021-06-30,"715 Mckay Throughway
North Chris, HI 38806",203.60.248.62,ios frontend,bounce,64.41,55.2
157,2021-08-04,"USCGC Christian
FPO AE 68589",204.41.186.43,shipping database,potential SSH threat,35.31,92.81
158,2021-07-30,"954 Oneal Club
Allenville, MD 63130",155.249.62.207,django controller,HTTP 404 response,43.57,0.0
159,2021-08-03,"PSC 9707, Box 7642
APO AP 79724",186.36.124.178,web frontend,click,24.04,1.54
160,2021-06-14,"47504 Sean Lake Suite 425
Port Danielport, ND 04767",172.236.203.49,django controller,HTTP 401 response,78.55,4.67
161,2021-07-17,"4643 Haynes Lights Suite 450
South Michelle, MT 76402",43.141.65.109,ios frontend,scroll,17.76,9.23
162,2021-07-28,"830 Green Harbors
South Brian, NY 14585",145.30.238.7,shipping database,potential SSH threat,77.66,24.34
163,2021-07-24,"3506 Gill Street
South Stevenborough, IL 91756",44.39.52.113,android frontend,type,76.72,0.0
164,2021-07-27,"4956 William Burgs Apt. 373
Walkershire, AL 47721",130.213.6.206,shipping database,throttling,35.22,66.65
165,2021-07-31,"USCGC Wagner
FPO AE 25295",107.137.152.55,sap shipping management system,invalid SAP unit code,0.6000000000000001,0.0
166,2021-06-23,"USNS Horton
FPO AE 88056",28.138.232.23,ai engine,error loading model,7.869999999999999,2.92
167,2021-07-06,"350 Penny Track
Kathytown, UT 54940",160.204.167.102,shipping database,SQL injection threat,89.05,65.26
168,2021-07-06,"7586 Stevenson Trafficway Apt. 021
South Christopherborough, MN 22765",204.233.82.4,ios frontend,click,11.74,0.0
169,2021-07-03,"581 Diamond Plain
Peckshire, SC 17151",202.127.16.74,mongodb database,server error,39.13,17.55
170,2021-06-27,"84491 Olson Views Apt. 754
North Stevenshire, MT 32174",110.31.5.213,android frontend,dormant,58.21,46.17
171,2021-06-27,"25875 Patrick Rue
Christinaview, UT 26543",217.84.119.19,web frontend,bounce,94.89,45.69
172,2021-06-18,"2313 Logan Light Suite 946
East Lisafurt, WI 02626",194.252.61.41,ai engine,model version invalid,70.1,95.57
173,2021-05-21,"40937 Glenn Stravenue
West Jenniferchester, DE 86033",144.141.59.192,customer database,SQL injection threat,67.84,58.19
174,2021-06-13,"678 Joshua Crossing Suite 786
Campbellview, IL 93598",137.31.124.40,customer database,timeout,77.58,0.0
175,2021-07-31,"849 Aaron Route
North Davidport, VA 20547",191.180.47.8,ai engine,model version invalid,3.87,1.15
176,2021-05-25,"PSC 6323, Box 2942
APO AA 24874",84.55.92.158,ios frontend,scroll,76.99,13.24
177,2021-08-15,"907 Amy Court Suite 471
Pottsmouth, AZ 72728",203.41.39.62,web frontend,dormant,63.05,0.0
178,2021-05-20,"3501 Neal Light Suite 486
East Patricia, AK 12563",186.124.133.219,web frontend,dormant,28.86,0.0
179,2021-07-10,"9293 Oconnor Run Apt. 691
South Shirleyland, NJ 51510",152.64.153.162,customer database,other,29.54,0.0
180,2021-07-19,"194 Evans Neck Apt. 486
New Stephanie, AZ 00988",112.108.199.38,ai engine,model version invalid,45.85,85.67
181,2021-08-18,"79708 Keith Cliff Suite 950
South Gregoryburgh, KS 56291",136.44.225.138,django controller,HTTP 500 response,70.5,0.0
182,2021-05-21,"620 Mark Station
Frankville, CA 40742",218.89.175.63,ai engine,model version invalid,93.97,88.99
183,2021-08-14,"36117 Christopher Keys Apt. 142
South Lucastown, WY 03300",154.9.252.182,web frontend,click,48.66,0.0
184,2021-05-31,"3969 Frank Estates Suite 867
Frostview, SC 27032",59.89.178.95,ios frontend,dropdown click,91.27,90.34
185,2021-07-14,"46087 Randy Island Apt. 595
New Patrick, ME 66998",221.105.173.49,android frontend,scroll,17.36,0.0
186,2021-05-23,"917 James Grove Suite 750
East Charles, NC 29942",205.41.152.183,android frontend,type,54.47,0.0
187,2021-05-27,"47260 Haynes Estates
Port Laurie, WV 25729",111.48.109.113,android frontend,dropdown click,64.76,18.82
188,2021-06-14,"40459 Garcia Union Suite 834
Millertown, TX 69701",86.50.130.31,android frontend,click,16.06,0.0
189,2021-07-20,"689 Alexander Village
Colemouth, VA 98948",214.135.227.212,django controller,HTTP 400 response,61.19,84.81
190,2021-05-31,"670 Davis Circles Suite 356
South Jamie, DE 63541",67.4.56.32,customer database,update data error,72.53,41.06
191,2021-07-18,"USNV Nicholson
FPO AP 45790",94.54.86.61,ios frontend,click,43.8,26.18
192,2021-07-07,"192 Powers Cape
West Robinside, UT 19124",203.237.89.242,android frontend,dropdown click,71.96,95.35
193,2021-06-08,"02924 David Green
Danielland, OH 86363",143.231.94.172,ai engine,bias detected in training data,84.0,82.41
194,2021-08-01,"9450 Morgan Isle Suite 078
Hillville, NC 28906",16.170.137.128,ios frontend,dropdown click,53.79,51.75
195,2021-07-01,"570 Richard Ville
South Yvonne, NJ 77665",168.190.200.246,mongodb database,server error,98.97,12.83
196,2021-08-18,"49812 Joseph Groves Apt. 881
Brianside, AR 13492",9.140.206.195,django controller,HTTP 500 response,94.79,0.0
197,2021-07-27,"Unit 6932 Box 0401
DPO AA 46671",174.38.8.20,web frontend,type,51.12,19.44
198,2021-07-08,"837 Wheeler Estates
Gutierrezburgh, MD 19410",194.87.220.168,shipping database,request timeout,15.829999999999998,14.55
199,2021-06-28,"2859 Phillips Wells Apt. 270
Petersonton, RI 31219",53.34.153.33,customer database,update data error,2.22,0.0
200,2021-08-19,"55775 Angela Crest
North Victorport, WV 31601",219.252.73.74,web frontend,dropdown click,27.61,24.67
201,2021-07-02,"USNS Reilly
FPO AE 92227",115.23.213.248,mongodb database,SQL injection threat,26.81,3.14
202,2021-08-16,"Unit 2522 Box 0460
DPO AE 09296",52.204.94.168,web frontend,dormant,35.63,0.0
203,2021-06-29,"316 Andrea Crossroad
West Gailmouth, MD 06806",205.10.181.255,mongodb database,server error,98.17,82.51
204,2021-08-04,"35334 Evans Fort Suite 427
Justinbury, CO 68510",158.143.194.9,android frontend,click,10.93,22.94
205,2021-05-28,"USNV Anderson
FPO AE 09639",35.77.53.207,ios frontend,new route,94.56,0.0
206,2021-08-12,"52190 Christine Green Apt. 776
Sharonchester, MI 97638",204.40.214.27,ios frontend,bounce,85.95,0.0
207,2021-07-10,"PSC 0256, Box 2257
APO AA 09509",111.41.17.7,shipping database,throttling,96.99,53.91
208,2021-06-12,"20105 Shannon Track Suite 940
Zacharyland, MS 11983",196.248.224.146,ios frontend,click,82.54,61.06
209,2021-05-27,"3089 Stephanie Branch
Lake Ashley, VT 78249",60.36.79.244,ai engine,error loading model,80.99,94.53
210,2021-07-14,"Unit 5478 Box 3191
DPO AP 03092",216.78.55.65,web frontend,scroll,92.81,10.27
211,2021-05-21,"20111 Ritter Plaza
Dennisbury, NH 30071",42.234.29.245,sap shipping management system,server error,81.8,0.0
212,2021-08-08,"48241 Mitchell Lake Suite 334
Kyleton, ID 33868",190.235.243.110,web frontend,dropdown click,5.82,0.6399999999999999
213,2021-06-20,"21843 Ritter Tunnel
Jensenchester, WY 77726",108.31.54.55,android frontend,scroll,86.77,0.0
214,2021-07-18,"5038 Charles Summit
West Patrickborough, MD 21481",120.150.227.100,mongodb database,other,91.39,57.4
215,2021-06-16,"12531 Lynch Streets Suite 821
Hannahton, MA 97893",17.217.197.173,web frontend,click,95.1,0.0
216,2021-08-16,"22118 Michelle Shoals
Howardbury, NV 62204",128.128.206.252,shipping database,throttling,52.84,96.46
217,2021-06-08,"6898 Beth Highway Suite 396
Ericstad, NH 69314",215.64.220.232,android frontend,dormant,60.05,74.87
218,2021-07-30,"337 Knight Extensions Suite 212
Johnmouth, UT 91936",206.210.161.186,ios frontend,scroll,84.55,0.0
219,2021-06-05,"8267 Robert Trail Suite 571
New William, CO 54679",205.223.219.116,web frontend,new route,57.53,0.0
220,2021-06-26,"67541 Santiago Freeway Apt. 485
Westville, MS 73899",219.124.38.208,sap shipping management system,invalid SAP unit code,60.78,0.0
221,2021-06-18,"11985 Mark Mall
Danielfort, MD 99626",21.98.152.29,sap shipping management system,invalid SAP unit code,42.97,0.0
222,2021-08-07,"293 Joshua Terrace
Port Jessica, NH 88637",208.168.67.138,customer database,other,44.75,24.16
223,2021-07-19,"4089 Watson Valley
Luisberg, VT 63725",205.0.94.130,mongodb database,SQL injection threat,77.57,30.48
